номер участка,подошва,естественное покрытие,искусственнное покрытие,Тип
2,0.22,0.29,0.49,жилой
2,0.22,0.29,0.49,жилой
3,0.19,0.35,0.46,жилой
23,0.21,0.49,0.30,жилой
19,0.25,0.25,0.50,жилой
19,0.25,0.25,0.50,жилой
20,0.15,0.54,0.31,жилой
6,0.16,0.33,0.50,жилой
6,0.16,0.33,0.50,жилой
6,0.16,0.33,0.50,жилой
9,0.18,0.16,0.66,жилой
9,0.18,0.16,0.66,жилой
13,0.23,0.40,0.37,жилой
13,0.23,0.40,0.37,жилой
16,0.26,0.39,0.35,жилой
8,0.16,0.43,0.41,жилой
12,0.26,0.31,0.43,жилой
42,0.25,0.12,0.63,жилой
15,0.21,0.32,0.47,жилой
10,0.24,0.32,0.44,жилой
5,0.36,0.06,0.59,жилой
2,0.22,0.29,0.49,жилой
35,0.21,0.15,0.63,жилой
35,0.21,0.15,0.63,жилой
65,0.39,0.14,0.47,жилой
53,0.20,0.25,0.55,жилой
53,0.20,0.25,0.55,жилой
53,0.20,0.25,0.55,жилой
53,0.20,0.25,0.55,жилой
27,0.14,0.44,0.43,жилой
24,0.21,0.21,0.58,жилой
24,0.21,0.21,0.58,жилой
24,0.21,0.21,0.58,жилой
29,0.25,0.11,0.64,жилой
39,0.29,0.02,0.68,жилой
55,0.22,0.26,0.52,жилой
41,0.20,0.30,0.50,жилой
40,0.16,0.28,0.56,жилой
38,0.23,0.26,0.51,жилой
48,0.20,0.20,0.60,жилой
60,0.22,0.20,0.58,жилой
52,0.19,0.02,0.79,жилой
50,0.16,0.16,0.68,жилой
1,0.59,0.23,0.18,общественный
4,0.65,0.18,0.17,общественный
34,0.25,0.35,0.40,общественный
18,0.13,0.00,0.87,общественный
21,0.85,0.00,0.15,производственный
22,0.37,0.00,0.63,производственный
17,0.61,0.13,0.26,общественный
14,0.06,0.01,0.93,производственный
7,0.06,0.16,0.78,общественный
11,0.14,0.16,0.86,общественный
25,0.89,0.00,0.11,производственный
26,0.73,0.00,0.27,производственный
28,0.40,0.04,0.57,жилой
54,0.70,0.05,0.25,жилой
31,0.45,0.00,0.55,общественный
68,0.57,0.01,0.42,общественный
30,0.67,0.01,0.33,общественный
32,0.89,0.00,0.11,производственный
33,0.70,0.08,0.22,производственный
36,0.33,0.00,0.67,общественный
78,0.16,0.00,0.84,общественный
63,0.52,0.00,0.48,общественный
64,0.49,0.08,0.43,общественный
37,0.22,0.08,0.78,общественный
57,0.73,0.00,0.27,производственный
56,0.90,0.00,0.10,производственный
51,0.16,0.00,0.84,общественный
34,0.25,0.00,0.75,общественный
59,0.17,0.14,0.69,общественный
58,0.32,0.14,0.68,производственный
49,0.14,0.14,0.86,общественный
47,0.52,0.00,0.48,производственный
46,0.58,0.00,0.42,производственный
43,0.61,0.00,0.39,производственный
45,0.91,0.00,0.09,производственный
44,0.65,0.00,0.35,производственный
61,0.95,0.00,0.05,производственный
62,0.63,0.00,0.37,производственный